"Section","Section Hierarchy","Title","Preconditions","Steps","Expected Result","Priority"
"보안 테스트","","","","","","Highest"
"인증/인가","보안 테스트 > 인증/인가","","","","","High"
"인증/인가","보안 테스트 > 인증/인가","비로그인 사용자 상품 목록 페이지 직접 접근 차단","1. 로그아웃 상태
2. 상품 목록 URL 확보: https://partner.stg.kurly.com/#/goods/list","1. 브라우저 주소창에 상품 목록 URL 직접 입력
2. Enter 키 입력","1. 로그인 페이지로 리다이렉트
2. '로그인이 필요합니다' 메시지 표시
3. 상품 목록 데이터 미노출","High"
"인증/인가","보안 테스트 > 인증/인가","권한 없는 사용자 상품 목록 접근 차단","1. 상품 조회 권한 없는 계정으로 로그인
2. 상품 목록 URL 확보","1. 브라우저 주소창에 상품 목록 URL 직접 입력
2. Enter 키 입력","1. 403 Forbidden 에러 또는 권한 에러 페이지
2. '접근 권한이 없습니다' 메시지 표시
3. 상품 목록 데이터 미노출","High"
"인증/인가","보안 테스트 > 인증/인가","세션 만료 후 상품 목록 접근","1. 로그인 상태
2. 세션 타임아웃 시간 확인 (예: 30분)","1. 로그인 후 세션 타임아웃 시간 경과 대기
2. 상품 목록 페이지 새로고침 또는 검색 버튼 클릭","1. 로그인 페이지로 리다이렉트
2. '세션이 만료되었습니다. 다시 로그인해주세요' 메시지 표시
3. 작업 중이던 데이터 유실 방지 안내","High"
"인증/인가","보안 테스트 > 인증/인가","타 파트너사 상품 목록 접근 차단","1. A 파트너사 계정으로 로그인
2. B 파트너사 상품 존재","1. 상품 목록 조회
2. 검색 조건에 타 파트너사 ID 입력 시도 (URL 파라미터 조작)","1. A 파트너사 상품만 표시
2. B 파트너사 상품 조회 불가
3. 파트너사 ID 조작 시 차단","Highest"
"데이터 접근","보안 테스트 > 데이터 접근","","","","","High"
"데이터 접근","보안 테스트 > 데이터 접근","URL 파라미터 조작으로 타 파트너 상품 상세 접근 차단","1. A 파트너사 계정으로 로그인
2. 본인 상품 상세 URL 확보 (예: /goods/detail/123)
3. B 파트너사 상품 ID 확보 (예: 456)","1. 상품 목록에서 상품 상세 페이지 이동
2. URL의 상품 ID를 타 파트너사 상품 ID로 변경
3. Enter 키 입력","1. 403 Forbidden 에러 또는 권한 에러
2. '접근 권한이 없습니다' 메시지 표시
3. 타 파트너사 상품 정보 미노출","Highest"
"데이터 접근","보안 테스트 > 데이터 접근","API 직접 호출로 타 파트너 상품 데이터 접근 차단","1. A 파트너사 계정으로 로그인
2. 개발자도구 > Network 탭에서 상품 목록 API URL 확인
3. B 파트너사 파트너 ID 확보","1. 개발자도구 Console에서 fetch API 직접 호출
2. 요청 파라미터에 B 파트너사 ID 삽입","1. 403 Forbidden 응답
2. 에러 메시지 반환 (데이터 미포함)
3. 서버 로그에 비정상 접근 기록","Highest"
"데이터 접근","보안 테스트 > 데이터 접근","엑셀 다운로드 시 타 파트너 데이터 포함 여부 확인","1. A 파트너사 계정으로 로그인
2. 상품 목록 페이지 접속","1. 전체 상품 엑셀 다운로드 실행
2. 다운로드된 엑셀 파일 열기
3. 데이터 확인","1. A 파트너사 상품만 포함
2. 타 파트너사 상품 데이터 미포함
3. 민감 정보 (원가, 마진율 등) 권한에 따라 노출","High"
