"Section","Section Hierarchy","Title","Preconditions","Steps","Expected Result","Priority"
"상품 목록","","","","","","Highest"
"조회 기능","상품 목록 > 조회 기능","","","","","High"
"조회 기능","상품 목록 > 조회 기능","상품 목록 페이지 정상 진입","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록
3. 테스트 데이터: 등록된 상품 10개 이상 존재","1. 좌측 메뉴에서 '상품' 클릭
2. 하위 메뉴에서 '상품 목록' 클릭","1. 상품 목록 페이지 이동 (URL: /goods/list)
2. 상품 목록 테이블 표시
3. 검색 필터 영역 표시
4. 페이지 로딩 3초 이내 완료","High"
"조회 기능","상품 목록 > 조회 기능","전체 상품 목록 조회","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록
3. 테스트 데이터: 등록된 상품 50개 이상 존재","1. 상품 목록 페이지 접속
2. 별도 검색 조건 입력 없이 목록 확인","1. 전체 상품 목록 표시
2. 기본 정렬 순서로 표시 (최신순 또는 상품코드순)
3. 페이지당 기본 개수 표시 (10개/20개/50개)
4. 총 상품 수 표시","High"
"조회 기능","상품 목록 > 조회 기능","상품명으로 검색","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록
3. 테스트 데이터: 상품명 '테스트상품A' 존재","1. 상품 목록 페이지 접속
2. 검색 조건에서 '상품명' 선택
3. 검색어 입력란에 '테스트상품A' 입력
4. '검색' 버튼 클릭","1. '테스트상품A' 포함 상품만 목록에 표시
2. 검색 결과 건수 표시
3. 검색 조건 유지됨","High"
"조회 기능","상품 목록 > 조회 기능","상품코드로 검색","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록
3. 테스트 데이터: 상품코드 'PRD001' 존재","1. 상품 목록 페이지 접속
2. 검색 조건에서 '상품코드' 선택
3. 검색어 입력란에 'PRD001' 입력
4. '검색' 버튼 클릭","1. 상품코드 'PRD001' 상품만 목록에 표시
2. 검색 결과 1건 표시","High"
"조회 기능","상품 목록 > 조회 기능","판매상태별 필터링 - 판매중","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록
3. 테스트 데이터: 판매중 상품 10개 이상 존재","1. 상품 목록 페이지 접속
2. 판매상태 필터에서 '판매중' 선택
3. '검색' 버튼 클릭","1. 판매상태가 '판매중'인 상품만 표시
2. 검색 결과 건수 표시
3. 목록의 모든 상품 판매상태 컬럼이 '판매중'으로 표시","High"
"조회 기능","상품 목록 > 조회 기능","판매상태별 필터링 - 판매중지","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록
3. 테스트 데이터: 판매중지 상품 5개 이상 존재","1. 상품 목록 페이지 접속
2. 판매상태 필터에서 '판매중지' 선택
3. '검색' 버튼 클릭","1. 판매상태가 '판매중지'인 상품만 표시
2. 검색 결과 건수 표시","Medium"
"조회 기능","상품 목록 > 조회 기능","카테고리별 필터링","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록
3. 테스트 데이터: '신선식품' 카테고리 상품 5개 이상 존재","1. 상품 목록 페이지 접속
2. 카테고리 드롭다운에서 '신선식품' 선택
3. '검색' 버튼 클릭","1. '신선식품' 카테고리 상품만 표시
2. 검색 결과 건수 표시","Medium"
"조회 기능","상품 목록 > 조회 기능","등록일 기간 검색","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록
3. 테스트 데이터: 2026-01-01 ~ 2026-01-31 등록 상품 존재","1. 상품 목록 페이지 접속
2. 등록일 시작일에 '2026-01-01' 입력
3. 등록일 종료일에 '2026-01-31' 입력
4. '검색' 버튼 클릭","1. 해당 기간에 등록된 상품만 표시
2. 검색 결과 건수 표시","Medium"
"조회 기능","상품 목록 > 조회 기능","복합 조건 검색 (상품명 + 판매상태)","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록
3. 테스트 데이터: 상품명 '테스트' 포함 + 판매중 상품 존재","1. 상품 목록 페이지 접속
2. 상품명에 '테스트' 입력
3. 판매상태 '판매중' 선택
4. '검색' 버튼 클릭","1. 상품명에 '테스트' 포함 AND 판매중 상품만 표시
2. 모든 검색 조건이 AND 조건으로 적용됨","Medium"
"조회 기능","상품 목록 > 조회 기능","검색 결과 없음","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록","1. 상품 목록 페이지 접속
2. 상품명에 '존재하지않는상품명12345' 입력
3. '검색' 버튼 클릭","1. '검색 결과가 없습니다' 메시지 표시
2. 빈 테이블 또는 안내 문구 표시
3. 에러 발생하지 않음","Medium"
"조회 기능","상품 목록 > 조회 기능","검색 조건 초기화","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록
3. 사전 상태: 검색 조건 입력된 상태","1. 상품 목록 페이지에서 검색 조건 입력
2. '검색' 버튼 클릭하여 검색 수행
3. '초기화' 버튼 클릭","1. 모든 검색 조건 초기값으로 복원
2. 전체 상품 목록 다시 표시
3. 검색어 입력란 비워짐","Medium"
"정렬 기능","상품 목록 > 정렬 기능","","","","","Medium"
"정렬 기능","상품 목록 > 정렬 기능","상품명 오름차순 정렬","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록
3. 테스트 데이터: 상품 10개 이상 존재","1. 상품 목록 페이지 접속
2. 상품명 컬럼 헤더 클릭","1. 상품명 기준 가나다순(A-Z) 정렬
2. 정렬 방향 화살표 표시 (▲)
3. URL 파라미터에 정렬 조건 반영","Medium"
"정렬 기능","상품 목록 > 정렬 기능","상품명 내림차순 정렬","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록
3. 사전 상태: 상품명 오름차순 정렬 상태","1. 상품명 컬럼 헤더 다시 클릭","1. 상품명 기준 역순(Z-A) 정렬
2. 정렬 방향 화살표 표시 (▼)","Medium"
"정렬 기능","상품 목록 > 정렬 기능","등록일 기준 정렬","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록","1. 상품 목록 페이지 접속
2. 등록일 컬럼 헤더 클릭","1. 등록일 기준 최신순/오래된순 정렬
2. 정렬 방향 화살표 표시","Medium"
"정렬 기능","상품 목록 > 정렬 기능","가격 기준 정렬","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록","1. 상품 목록 페이지 접속
2. 판매가 컬럼 헤더 클릭","1. 판매가 기준 낮은가격순/높은가격순 정렬
2. 정렬 방향 화살표 표시","Low"
"페이지네이션","상품 목록 > 페이지네이션","","","","","Medium"
"페이지네이션","상품 목록 > 페이지네이션","페이지 이동 - 다음 페이지","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록
3. 테스트 데이터: 상품 50개 이상 존재 (2페이지 이상)","1. 상품 목록 페이지 접속
2. 페이지네이션에서 '2' 클릭 또는 '>' 버튼 클릭","1. 2페이지 상품 목록 표시
2. 현재 페이지 번호 '2' 강조 표시
3. URL에 page 파라미터 반영","Medium"
"페이지네이션","상품 목록 > 페이지네이션","페이지 이동 - 이전 페이지","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록
3. 사전 상태: 2페이지에 위치","1. 페이지네이션에서 '1' 클릭 또는 '<' 버튼 클릭","1. 1페이지 상품 목록 표시
2. 현재 페이지 번호 '1' 강조 표시","Medium"
"페이지네이션","상품 목록 > 페이지네이션","페이지 이동 - 첫 페이지/마지막 페이지","1. 로그인 권한: 파트너 관리자
2. 접근 경로: 메뉴 > 상품 > 상품 목록
3. 테스트 데이터: 5페이지 이상 데이터 존재","1. 상품 목록 페이지 접속
2. '>>' (마지막 페이지) 버튼 클릭
3. '<<' (첫 페이지) 버튼 클릭","1. 마지막 페이지로 이동
2. 첫 페이지로 복귀
3. 각 페이지 번호 정확히 표시","Medium"
